"Sentiment","Review"
"Positive","Completely, exactly: This box set is wonderfully put together. Every Sun song in order on 3 discs with a detailed book. This is one of those box sets that just doesn't get any better than this. Its everything you want and how I would want to have put together for any artist. The shear raw beginnings is here and what the legend that we know from Johnny Cash. This is a great treasure you will enjoy. Stay 2nd :-)"
"Positive","does a good job: seems to be sturdy and durable in average use; reach is good; leaves skin feeling very clean; would recommend to others"
"Positive","Cool CD: I like this CD, especially songs like Immigrant and Employer. Agree with previous reviewer - very emotional."
"Positive","Excellent classics reborn.: This is the beginning of rpg heaven and the games that started the hugely popular rpg trend.Both games are 'tame' by todays standards but the fun factor is still beyond measure. Final Fantasy 1 and 2 both offer tons of great gameplay and will make you pass hours without even thinking.Though it seems that both games have gotten dramatically easier...Oh well, there are still things we can do to make things harder, like a solo white mage. :)"
"Negative","Disappointed but still a fan.: Can't hide my disappointment with this CD. I was looking forward to it, especially after attending the Idol concert in Raleigh. Unfortunately on this CD Clay is overpowered by background singers. There is also no diversity. Most of the songs sound the same to me. As an older fan I was hoping for some classic numbers like those Clay sang on the TV series. I won't be listening to this CD again. Hopefully whoever is responsible for it will learn from the experience and can produce something which will let Clay shine and reach out to his entire audience on his next CD."
"Positive","This CD is truly a great blessing to my collection!: Though Sis. Etta James is but one in a long line of great female blues/jazz singers, her unique style and grace are quite evident. It is also clear that there is a passion she sings with obviously due to the fact all the joy and/or pain in each song she has experienced AT LEAST once in her life. As is true for most African vocal artists, it is also clear she received her early training in The Church, the solid rock of our communities. THANK YOU SIS. ETTA JAMES FOR ALL THE GREAT MUSIC OF YOUR CAREER; MAY GOD CONTINUE TO BLESS YOU AND KEEP YOU IN ALL FUTURE ENDEAVORS!"
"Positive","excelent price for a mac: This is not the last model, but only change the video card... not a big deal. for this price is the best choice."
"Negative","Robin Hood Begins!!!: The only other Robin Hood movie I've ever seen was the parody directed by Mel Brooks. I couldn't compare it to the previous films, but I understand this is a retelling of how Robin came to be who he was. It feels like an epic film, but it was very boring and drags on a few scenes. There are some intense battle sequences, and some humor. Crowe stars as Robin Longstride, a highly skilled archer who helps fight in battles, along with his 'merry men' Sir Godfrey sends his army to attack the people of Nottingham. At first, Lady Marion doesn't trust Robin, but she soon warms up to him. If you are a hardcore English folklore fan, then you'll probably love ROBIN HOOD!!!"
"Negative","Packed with info but abysmally written.: If ever a book cried out for a competent editor, this is the one. It's rife with misspellings, typos and incredibly obtuse prose. While it does fulfill its stated purpose of being a compendium of both classic and contemporary urban legends, it's an exhausting read because of its startling lack of polish. And if you find you're interested in learning whether or not a particular legend is true or even based in truth, I hope you're the patient type: the author often waits several pages before deciding to comment on the veracity of a story, sometimes saving up multiple stories and commenting on them collectively. That's when she chooses to weigh in on a tale's truthfulness at all, mind you. There are definitely better titles in this genre, not to mention the great Web sites covering the same territory."
"Negative","My sons did not like this music.: Not impressed with the Jonas Brothers. My kids talked me into getting the CD with another purchase so I could qualify for Free Super Saver Shipping and it was a waste of money."
"Negative","very disappointed: I made the order on Dec 13, 2009. The email said it will be shipped between Jan 2 - 7. It's so slow, but I think that may be due to the holiday season, I can understand and I can wait. However, today (Jan 9th) I got an email said ""We're still trying to obtain the following item. Still want it? We'll keep on trying. We'll cancel your order on February 07 2010, if we haven't located it by then."" Speechless... If you DO NOT have the product, please DO NOT list it on the website. Please DO NOT waste time for both of us. Thanks."
"Negative","Dreadful, bitter, jaded, vicious, and DULL: ""Agatha Raisin and the Curious Curate"" is unreadable. Every single character is vilely, vilely unsympathetic. I simply could not make myself care about this pack of shrews, snobs, bigots, and jerks. By page 50 I was hoping that the murderer was armed with a suitcase nuke. By page 60 I was so bored with the bitter harpy main character that I gave up.The stereotypes in this book are so broad (and so unrealistically awful) that I wonder if the writer was intending satire. If so, it doesn't work any better as a satire than it does as a mystery. Awful, dreadful book, and I cannot recommend it."
"Negative","bosch vs dewalt: Well dewalt is clearly better if you can have only one or two drivers in your tool box the chuck is ok- even the chucks on cheap drivers are ok. It is good for tight places, doesn,t have much power, probably as much as i'd expect from a 3.6 volt driver and the electric clutch is not as good to screw as mechanical clutches People will probably disagree with me, but I own and use 6 different drivers and that's my opinion. Not good for large screws, too weak, and the clutch adjustment is dismal if you are looking an accurate and consistent setting. I hope bosch works on improving these shortcomings so the tool can live up to the bosch reputation. For drilling ,don't waste your time."
"Positive","Great movie: This is an awesome movie. No complaints glad to have it in my library. John Wayne can't say more describes itself"
"Positive","BLUE: Works really well and doesnt fade out really fast. It's been three weeks since I've used it and it still hasn't faded at all. Would definetly use this brand again."
"Positive","To listen over and over!!!!!: If you want to improve your skills, this is a very good option!!If you don't have too much time to read, you put the cd while driving, for example, and you'll absorb the content.As Tom Hopkins say, believe and practice. It helps lot$$$$ !!!"
"Negative","DVP642 ""NO DISK"" fix: I owned DVP642 for less than a year and suddenly it stopped reading disks (""NO CD"" message). That happened after the player presumably overheated when operating under the hot sat receiver. I opened its case, spread some flux over all chips I could find on the decoder board (it's placed between CD reader and power supply board) and used a butane soldering iron till the solder melted. Now the unit works flawlessly. I guess many problems other than ""no disk"" could be cured with this method. Otherwise, I'm very satisfied with Philips DVP642."
"Negative","An U-turn in Candlemass's sound: If you like the old good sound of Candlemass (4 first albums), then you should have second thoughts about buying this one!"
"Positive","Deidre: I think that the book was very interesting. It has a lot of details that help you understand the book. I also like the ending."
"Positive","Buy these: These are great. They feel solid. No crevices for junk to hide. They look very nice. There are marks inside the larger cups showing increments for smaller measurements so you can us the 1cup for various different measurements. I love these as much as one can love a set of measuring cups. I'd buy again."
"Positive","Battery is better than expected: The delivery occured on schedule and in good condition. I charged the battery for 24 hours and then installed it in a Sony CR120E/R laptop (13"" screen). After 5 hours of Power Point presentations and data entry, which included the wireless being on for about 45 minutes, the battery had a 20% charge left. The screen brightness was set at 50% of normal. The battery totally met my needs."
"Positive","Awesome book: The book is a wide selection of delicate and touching fine black and white prints. It certainly adds volume to my ""artsy"" collection."
"Negative","really upsetting performance: I did a lot of research. Read all the customer reviews and decided to buy this product. It was utterly disappointing in performance. Except that it exudes steam and makes the floor wet... it does not clean well at all...it is the same as using a mop ....The only good thing i observed is to use it to clean upholstry. I am returning this product asap."
"Positive","Leadership Clues to the Wormhole for Church Leaders: Bill Easum has made several important contributions in this book that makes it well worth reading. First, he forces us to think in fuzzy terms about the future of leadership by suggesting that ahead of us are clues rather than rules.Second, he injects a strong element of postmodern thinking into the conversation that forces us to think in nonlinear terms. Third, he is clearly spiritual and Jesus-focused in his clues.Fourth, he has a handle on leadership from an individual perspective, a congregational perspective, and the denominational or larger Church perspective. Fifth, he challenges church leaders about their primary client. Do they serve the congregation, or do they serve Jesus?Sixth, he challenges the church at various levels to anticipate the kind of leadership that will be needed in the 21st century. Seventh, he has a clear focus on helping the church at various levels address the spiritual needs of 21st century preChristians."
"Negative","I thought that Monsenieur Musk by Dana was big BIG RIPP OFF: I used the real Monsenieur Musk by Houbigant in the early 1980's.....thie stuff that is now made by DANA using their old name is a JOKE...it lasts about 30 seconds and smell like crap...what a ripp off.I'm gonna call amazon and see if I can send it back and get my money back!!!feel like I was really ripped off!"
"Positive","Little Golden Book of Words: I looked all over for this book. I'm a volunteer in the first grade at my local elementary school. I will use this book with children who hear another language at home. I remembered reading it with my own children. It's still a great vocabulary builder."
"Positive","My All Time Favorite Book: This book is on my laptop and my Kindle and I read it over and over again. I dip in and out on a regular basis. Lawrence (Lawrence of Arabia) is the best pure writer in my personal experience and while I read this book, I have to stop now and then and try to absorb what I just read. It makes me want to go there and the sweep of history is so visible in this book. I love the part where he says that once you have seen the landscapes, you understand why three of the world's great religions started there. I read this book over and over and recommend it every chance I get."
"Positive","Moon - Gackt: Everything this super talented Japanese pop star touches turns to gold. This album is no exception! If you're looking for great music from an artist with a library of CDs which all sound different from disc to disc, then Gackt is for you! He also has a couple of video discs which really don't need translating for the images to reach out and grab you. From all accounts, he's also an all around nice guy, too. What more can you ask for?"
"Negative","Great symphony- Low quality CD: An absolutely gorgeous symphony- especially if you like Mahler and Bruckner. I even had some suspicions that Mahler had ""borrowed"" a few themes from his mentally deranged friend Rott! Aside from the music itself, however, I was extremely disappointed by the CD recording from Arte Nova Classics (a subsidiary of BMG)The first disc was imperfect and skipped in several sections. Amazon was quite efficient in allowing me to return the damaged disc but the replacement they quickly sent, was no better. Still skipped in sections and had ""dead"" sections... I decided it was too much trouble to return it again. Maybe the recording session was flawed? I'll probably try to get this symphony on another label."
"Negative","Belgian (no way): Unless the description of a Belgian Waffle has changed, this is a very poor example. The thin small indentations made by this unit make it more closely resemble a grill marked pancake."
"Negative","Surprisingly Amateurish: I love R.E.M. and I particularly love the R.E.M. songs that were recorded under the I.R.S. label. However, this video collection is surprisingly amateurish and it is missing many of the great videos that R.E.M. made during this period. I think it is time for R.E.M. and I.R.S. to mend fences, remaster the work off of the first five and a half R.E.M. albums, and issue a complete and professional compilation of the videos from this period."
"Negative","Order another edition: WARNING - this edition ( billed as CreateSpace Publishers, copy says IAP Publishers, Los Vegas) is a poorly scanned copy - as far as i can tell - for page size type is oddly small, margins oddly large and type is crooked on page as though run through a scanner."
"Negative","LOOKS LIKE CHEAP BOOTLEG: SAVE YOUR MONEY, ORIGINAL VERSION,IN MONO,THE OUTTAKES VERY POOR PICTURE AND SOUND, THE SOUND AND FILM OF THE AFTER PARTY SEGMENT OF THE OUTTAKES ARE COMPLEAT IN THE ENDING CREDITS OF TTWII S.E.2001 RELEASE, YET WARNER CHOOSE TO CHOP UP THE SOUND UP HERE, WHAT A UNNESSARY RIP OFF."
"Negative","Doesn't even match a Happy Meal Toy: I bought this for my nephew, and never got to even fly it! I loaded the batteries, connected the charger, and that was it---the charger would not charge nor come off---D* near broke it in half trying! Can't wait to return that trash."
"Positive","Surprisingly palatable flavor (fuzzy navel): Does it really mix up lump free? Well, not without an immersion blender. The problem is the immersion blender creates a froth with an amazingly amoxicillin aftertaste. The scent is definitely reminiscent of amoxicillin as well. The warmer the water, the easier it dissolves, but the more pronounced the aftertaste becomes.My personal solution has been to mix with hot tap water and an immersion blender, followed by addition of some ice mixed to a slushy consistency; then gently stir in enough lukewarm water to bring it to a temperature you can comfortably just chug-down-and-get-it-over-with. The alternative, for an additional 150 calories or so is to dump in a container of Chobani greek yogurt with fruit and blend to the consistency of a ""smoothy""; the pomegranate and blueberry flavors mask the amoxicillin aftertaste best.Realistically, this is a flavor that can lived with day in, day out, without retching."
"Negative","Poor Sound, Microphone and Battery: When you start talking after 30 seconds starts to sound even with all its charge, the person on the other side hears an echo, and one must speak loud enough for you to listen"
"Negative","Most Dreadful: I own this book selection, I am most interested on Works written about relations between Middle Eastern Countries and the Western World. I myself am from the Middle East and find interest in that type of work. I believe that the author shows a biased opinion in the book. The author sounds pessimistic about the United States in relation to North Africa but does not back up the info provided with Intelligible expanations on the point of reference. I was not Content reading this book, therefore I did not enjoy it."
"Negative","Adequate , but overpriced and low quality: The Adorama iTTL flash cord works fine, but I was very disappointed in its quality of materials and workmanship...very cheap. Probably won't hold up. The spring-loaded lever that locks the hot shoe to the camera is especially cheapish and looks like it will easily break off. It protrudes dangerously, asking to be bent or broken. If you are expecting a Nikon-quality aftermarket accessory for your Nikon camera, this is not it."
"Positive","Great for Fixing Drop-down Attic Stairs' Door: Just as another reviewer did, I used it on the drop-down door of my attic stairs so that it will close all the way. Works perfect! (Ironically, I too live in Plano)"
"Positive","Bob's new slippers: Great!!! Perfect fit. Hard to find a size 15. Have them on now. Sturdy. Price was right. Very happy with my purchase."
"Negative","Boring and a bit kiddie porn: I don't know which version I saw, but question how much the translation really mattered since I doubt there were two pages of script in the whole 2 hr. movie. I found it slow and boring and provided no background or answers. It was impossible to tell how the two kids had a relationship other than from loneliness.The kiddie porn reference is because the pasty little boy is shirtless in about half of the movie and then there's the gratuitous shot of the girl's naked crotch which was totally unnecessary. Since she has a 12 year old body forever, no duh that she's going to look like a pubescent kid, a shot of her body wasn't necessary (although I'm sure it wasn't the actress' real body.....one would hope) and added nothing to the film."
"Positive","Caring for yourselg and your aging parents: A must read for the young generation, too bad it was not available when my parents were old. My daughter has raised some poignant ideas and questions , since she read this book. Give it to your children, they will appreciated later in your life."
"Negative","one of the worst books I've ever read: If you didn't see the ending to this story within the first 40 pages, you're in serious denial. This was the most contrived, laughably bad book I think I've read since Sweet Valley High. The stereotypes of the characters are sophomoric, and the storyline has been done, done, and redone. I read it like you watch an awful made-for-TV movie - it's so bad you can't tear yourself away. ugh."
"Positive","Love the good wife: Always a good show. The good wife is one of the best tv series along with homeland and dowton abbey."
"Negative","Do not buy this program!: This is, quite possibly, the worst piece of software I have ever owned. Not only is it full of bugs, tonight it started DELETING other programs on my hard drive. The other reviews are right on -- it has great potential, but it's not worth the hassle. To quote Monty Python, ""RUN AWAY! RUN AWAY!"" from Pinnacle Studio 8 as fast as you can."
"Positive","Kitten ""kalamity"": Our kitten cleared our bathroom counter of a library book (into the commode)! Rather than pay the library the total cost of replacing the book, we ordered over Amazon. Got the book, finished reading it, and got it back to the library before the due date! Great service, great quality!"
"Positive","A heavy hitter: I'll keep this simple and to the point. The lens is bullet proof. It produces beautiful images even in low light situations and that's even hand held.Only one minor complaint, it's pretty heavy. I guess that's a small price to pay for beautiful photos and dependability. You get a bit of a work out, but who isn't in need of that."
"Negative","Watch your pricing!: Started to order this item at the listed price of $299. On checkout the price was $320 - plus $22 more for handling and shipping."
"Negative","What an Awfull Movie!: Im a huge fan of Horror (Just check out all my reveiws, nothing but horror!) but this movie is absolutley awfull. I dont know how but I watched the entire movie, I guess I kept waiting for it to get better but it didnt. The story makes no sense. The gore was horribly cheesey and the character of Norbert was so annoying, I really hated that character.I figured since this was being released with the Dimension Extreme Series, that it would be half-way decent (check out ""Automaton Transfusion"" and ""Diary of the Dead"") but it was straight garbage. Dont waste your time."
"Positive","Get Caught: I saw this movie ages ago at the video store, rented it, and was blown away. It's one of those films that reminds you never to cheat on your spouse! But like another reviewer said, the wife's son is so wicked that you can't help but blame him for the family's demise. The wife and lover happen into this affair naturally-- how could they resist?This chilling family picnic is the most memorable scene.This is a great indie film that reminds you not to act on every desire because there are prices to pay.One of the few 5 star films. If you see it, you'll agree how good it it. It is dumbfounding how a movie like this is so unheard of. I wonder what other films are out there that are awesome that I don't know about.(One False Move and Bound are two movies not a lot of people have seen that are excellent too!)"
"Positive","Awesome book, simple.: you can read all the OTHER reviews that give full details of everything they hated about this book, im just writing to inform you that the book was great. if your offended easily by original thoughts about the christian religion then NO this book isnt for you. if your looking for a different kind of james patterson suspense that crosses religious ideas and plays on social taboos this book is for you! Enjoy it for what it is, AWESOME"
"Positive","Menage a trois with humor!: Written from the male perspective and very funny! The poor man is befuddled by the arrangement set up by his wife, hounded into paranoia by an office colleague and generally lost as to how his life has unfolded to this point.Written tongue-in-cheek, but with some insight to the characters background, one feels sympathy and understanding for them all. The ending was almost slapstick and expected, but done with a wink and a nod.For a light and funny reading experience this book will fill the bill."
"Negative","Didn't really like it.: More about the author than horses, which might be fine, but bottom line the book did not move me.This is yet another book that arose from a creative writing course. It is not a creative work of fiction, but a recounting of a life story.I love horses, love horse books, but not this one."
"Positive","Good Workout Ideas: This book is not a technique book. It won't teach you how to swim. If you're looking for that - look elsewhere. On the opposite extreme, it is not a book for the elite competitive swimmer. It's purpose is not to shave a few tenths of a second from someones already elite times.This is a very good collection of swimming workouts for all levels of fitness swimmers. The book is divided into various levels and utilizes all the strokes. The author also incorporates all the swimming toys (fins, pull buoys, paddles, etc.)The workouts are very creative and enjoyable. I often take the book to the pool (in a nylon bag). This is one of the best workout books I've seen. I purchased it a few years ago and have used it constantly. Highly recommendedA suggestion for future editions: get rid of the part of the book that is not about the workouts and then print the book in a water proof format."
"Positive","non-delivery: I advised Amazon that I did not receive this package even though the documentation said it was delivered. Amazon said I have to check with my postoffice. My postoffice says I have to file a form, which I did. I am going to advise my credit card company that I will not pay the charge on the bill. I like the senseo coffee pods very much and the Dark Roast are hard to find at my grocery store. That's why I ordered them online.Susan Cohn"
"Negative","Not as good as the live performance video: The tracks were flat. I don't know where they pulled them from, but they didn't have anywhere the near the energy that I expected. I saw the videos of the same songs on a PBS special, so my expectations might have been too high."
"Negative","Not stable: I bought this product just over a year ago and found it to be somewhat painful on the face. The material is too hard on the face. I put a sock on the front brace, under my chin which allowed me to hang for more time. But, the device started ripping apart on me; first where the straps are sewed to the brace, then the straps themselves were ripped off from the entire device.Not sure I can get it repaired - but will try to contact the manufacturer...."
"Negative","More like a five-tissue jerker: The PAY IT FORWARD review rated ""most helpful"" calls this movie a ""five hanky tearjerker"" but most who cried probably did because they'd paid good money to see this corny crap. However, I did need five tissues watching Helen Hunt zipping around in skimpy bikini top after skimpy bikini top and hot bra after hot bra - who knew she had such a smokin' body?!I rate PAY IT FORWARD (a typo, probably, as they must have meant GAY IT FORWARD) two stars for Helen Hunts's tight torso and ample bosoms. That must be the reason Kevin Spacey signed on to do such a trite LIFETIME-level flick, as he gets to make out with her. (So much for the rumors about him.)"
"Positive","One of the BEST books on coaching: As a life coach this is THE book that I recommend for anyone interested in learning more about coaching. The authors' philosophy that the relationship between a coach and client is a designed alliance is powerful and well articulated throughout the book. Each chapter is packed with information, tools and examples on coaching from the co-active model. It's also one of the few books I keep on my bookshelf in my office and I refer to it often."
"Positive","Big Surprise: I have always loved Gaither music, but had NO idea Mark Lowryhad such a great voice and singing style. Always saw him ascomedian, period. Was I ever surprised. This CD is one I haveplayed at least a dozen times....so far!!I would love to order the DVD sometime down the road. Hisperformance is very enjoyable on the CD and would love towatch him in action!!"
"Negative","What are people smoking?: I am dismayed at what people think is good music nowadays. Forcing me to listen to this stuff would be my personal hell. Get some taste people."
"Positive","Would Recommend: This product works great on getting the fleas and eggs caught on the teeth of the comb. Only bad thing I found is on some of his shorter slicker hair (just as on the legs) it doesn't go down to the skin. But other than that I would definately recommend."
"Positive","Exactly what i wanted: Seriously, all I was looking for was a trimmer, NOT A SHAVER, I use a razor for that. This works perfectly to keep your beard at the right length. I personally don't have a thick beard, which is perfect as I am able to maintain that 5'clock shadow look pretty easily. Just like everyone else said, no lubricant needed, one charge seems to last forever! Easy to use, and great price."
"Positive","Pretty Comprehensive: The writer spent a lot of time researching and compiling and even updating material with newer research. A must have for those doing genealogy research in New Mexico!"
"Positive","A Sublime Experience!: This video is terrific. Insurance companies should reimburse you for it, especially if you work a high-stress job. It strengthens the body while releasing tension and actually relieving pain. The relaxation at the end is probably the most unwinding and soothing experience I have ever had. Also teaches excellent stretches and lower-back releases for runners and anyone who plays high-impact sports."
"Positive","Sharp little dictionary: While limited in vocabulary, this is a handy item to carry to class or while travelling. It's smaller than a pocket sized dictionary and allows faster look-ups. After you have thumbed several characters of the word you want, it offers you a list to choose from. If you enter a spelling that it finds no word for, it lists similar words to choose from. The definitions provide part of speech, gender of nouns, and idiomatic uses. The Puzzles feature does not offer puzzles to solve, but is an aid in solving crossword puzzles (names of popes and presidents for example). As a student of Spanish, I had hoped for a way of looking up verb conjugations, but no such luck. The battery so far has lasted a month with frequent use."
"Positive","A must read!: Lise Goett's flawlessly written poems describe other worlds yet powerfully lead you through these extraordinary places and people's lives by your own vulnerability and your own emotions. Her miraculous metaphors strike again and again at your core. I've read Waiting for the Paraclete three times and it's my number one gift to friends and family. Finally, a contemporary woman poet who gets it: sensuality, love, death, purpose, etc. An incredible tour de force- read it now."
"Positive","CLASSY & CLASSIC: My wife gave me a Burberry's gift set and it's now become my favorite scent.She didn't buy it on Amazon and paid nearly twice as much as it's advertised for here. I know where I'll be buying my Burberry's from now on.Everyone has different body chemistry so no cologne smells the same on everyone. However, I have received more compliments on this scent than on any I've ever worn."
"Negative","Skip it!: I bought this for my husband last holiday season and its already fallen apart. Four out of the six key pins have fallen out and cannot be put back in. The first ones fell out within a month or two of purchase. This is a bad product and I highly don't recommend it!"
"Positive","The Ultimate Encyclopedia of Dogs 2004: We enjoyed your book and found it had excellent graphics, however there were a few concerns. On pg 83, it states when suffering from heat exhaustion to ""bath the dog with cold water and especially drench its head"" if one were to do this it would send the animal into an immediate state of cardiac arrest in shock, a condition that no owner is equiped to deal with. I think that any veterinarian would agree, the best course of action would be to slowly cool the animal with tepid water and seek immediate emergency help. As well there is a section stating how much dogs like to eat chocolate but there is no mention to the fact of it being extremely toxic. On the plus side it is nice to see that you recommended that any injured dog should be muzzled as it may bite (something that the owner may not know)."
"Negative","All Jerry, All the Time: The Deliberate Intent 4-CD Collection II was a surprise. There was no Esther Hicks or Abraham, only a rote recitation by Jerry Hicks. He reads a series of ""games"" to practice improving personal intent and vibrations, and adds some brief lectures. He has a fine voice, but it lacks the expression, energy, and sense of attraction to draw listeners into a space of creativity, response, and commitment. He wants his share of the spotlight, but frankly, he's tedious."
"Positive","""Baby Boon"" speaks the truth: Whether parents want to admit it or not, ""Baby Boon"" gets to the heart of society's bias in favor of parents and children. Elinor Burkett has taken a lot of heat for daring to write this book, but to put it plainly: Somebody had to do it. I wish I did not identify so strongly with the childfree people mentioned in the book. I wish the book didn't seem as if it had lifted experiences straight from my life. It does. If Ms. Burkett is ""whining,"" then perhaps that is what childfree people need to do to make their voices, needs, and wishes heard and understood. I am pleased to see such well-written material addressing such touchy, often unpleasant subjects."
"Positive","The Raft: My daughter is 5 and loves this book, as do I. As we got to the last page, she said, ""Read it again!"" The illustrations are so beautiful and what a great way for children to see the beauty of nature. Another great thing about this book, is showing kids(and adults) that you don't need tv to have an amazing time."
"Positive","A Christmas Classic: I love this album...it is timeless. I bring it out every time the holidays are here. It brings out the joy of the holidays and brings out the meaning of the season again. It has many of the classics and there are some with a little pop that will get you up to dance and sing along. Thanks to The Carpenters for making such a beautiful holiday album that will forever be a part of my holiday music!"
"Positive","this cd is tha best: when i first bought this cd the only song i bought it for was ""where the party at?"" after listening to tha whole thing every song became my favorite. tha ballads kick and the fast songs are indredible its an awesome cd everyone should get it fa sho"
"Negative","Complicated, hard to follow, not a great workout either: I was very disappointed with this video. I'm always so busy trying to keep up with Karen's complex coreography, poor cuing and choppy sequences, that I don't get to enjoy the workout and get decent results. By the time I finally pick up a move, she adds on to it or moves on to the next thing. She is serious, boring and not much fun to work out with."
"Negative","A bit flimsy, works ok but not good value for the money: Not a very efficient solution if you need to wrap and unwrap your cords more frequently. It's just a long strip of Velcro, much longer than I actually need so most of the material is wasted and even gets in the way (as you have to wrap it around and around). This also makes it more time-consuming to wrap cables."
"Positive","Definitly an indoor flag.: Flag is of the highest quality you could expect when paying this price. Probably wouldn't last long as an outdoor flag. But works great for indoor use in my man cave."
"Negative","Eh.....: Full Collapse is decent for what it is, but not essential by any means. Thursday is perhaps the best of what has been dubbed the ""mainstremo"" movement, and while their brand of stream-lined emocore is a nice respite from the slew of bad Blink 182 rip-offs, it's nothing special either. Some melodic guitar riffs here, a screamed chorus there, repeat. If this is your thing, I'm sure you'll enjoy it; it's not god-awful by any stretch. But this just doesn't move me anymore. I'd suggest you buy yourself a Jawbox record; it lasts longer."
"Negative","If you have patience: The story is incredible. However, it is written very poorly and the author repeats things to many times."
"Positive","Bravo!: I am both a music major and a huge Mendelssohn fan, so recieving this was a real treat. The music is brilliant, the choreography is great, and overall it was a great performance. I love watching it."
"Negative","EXPENSIVE shipping: I am only giving this product such a low rating because of the shipping. The product costs $29.95, and shipping is $22.49 ... Doubling the cost!This is the product we used to flavor the popcorn in the movie theater I worked in during high school. I adore it."
"Negative","Be Natural Callus Eliminator - don't use!: PLEASE be careful using this product! I had a salon use this on my feet during a pedicure and they got some on the soft part of the bottom of my foot (right in the middle) and now I have cuts and burns all over the bottom of the foot. It was fine on my heels, but it caused cuts and burns on the side of my ankle and side of the foot as well. I wouldn't use it!"
"Negative","Think before buying this one...: The ""new"" planes were horrid. Several wouldn't work out of the box(Abacus finally put out a patch months later). I was unable to get the runway lights to work at Sky Ranch and Abacus was of no help!"
"Positive","Melissa and Doug for Imaginative Play: As a homeschooling mom of 7 I can authoritatively say that Melissa and Doug products are the best. So sturdy and durable but realistic at the same time. Read the book The Doll People (or listen on tape) while your little ones play. With these accessories my 3 littlest girls (6, 7 and 9) imagine that their dolls are real and play at night with all the of the food, plates, silverware, and use the lamps and toys. You can't go wrong with this company all around."
"Negative","poor design dont waste your money: i gave this a try but wasnt thinking clear..this is not what the pros use theirs isnt as restricted,this product would be better with the wheels fully exposed...dont bind your blade in the plastic or your knife is ruined quickly...i get a way sharper and more even egde useing a cheap carbide hand sharpener...ive been sharpening knives sense i was a kid and can shave with all of them except for the ones i gotta fix because of this machine...total waste of money"
"Negative","The only movie I ever wanted to walk out on: I'm sorry, but Joe Vs. the Volcano was just about the worst movie I have ever seen. I don't blame Tom Hanks or Meg Ryan, I just felt completely disappointed by the BAD SCRIPT! I hate to be a dissenting voice, but I have seen many movies, good and bad, and this one is the only one I actively loathe."
"Positive","Good CD: I saw this movie a few times Can't Fight The Moonlight is a good song and the other songs were good....I liked it, enjoy."
"Negative","string buzz: Lots of string buzz if you try to pop it on and start playing.You can get it to play without the strings buzzing, but not without some trial and error.Ditched this and bought a Kyser which works like a charm."
"Negative","Okay, I don't get it: The sound quality is certainly far from state of the art, even by 80's standards. And the songs and performance - well, I don't get it. Give me the Trio of Emmylou, Dolly and Linda over these gals any day of the week. Lots of hype, good looks, but not much else."
"Negative","Frequent disconnects. Bad quality control.: Do not buy this router. The quality is a hit or miss. And there have been quite a few misses now that cannot be ignored anymore. I just wished I read about this first.The router may suddenly fail to work and requires a reboot by unplugging it. This isn't ideal when you have it stuck in a location that is hard to reach. Running the latest .14 release of the firmware (6/2004) and still has the problem. For some it may occur once a month and for some every 30 mins. Please do not even consider this.If you are skeptical about these comments check out the forums in dslreports.com and search for 'post your BEFW11S4 issues'"
"Negative","Not Again: You think making the game 3 times for each system would be enough, but gamecube has to try to make more $."
"Negative","Not that great: I bought this for my 7 year old son and he played it for about 7 minutes before tossing it into the ""games he never plays"" box. Not only are most of the fighters out dated but it was hard for him to even figure out how to use 2 player mode, he thought it was 1 player only until I read the instructions on how to access the 2 player mode. He is usually very quick to pick up on how to play a game but this one was set up in a dumb manner. Also, the announcers are annoying and keep saying the same thing over and over. Even though it was very cheap it still was not even worth it."
"Negative","so bad its good: what absolute nonsense... the ""proofs"" she offers are so terrible they are laughable. the ""investigative journalism"" is so bad it makes weekly world news (a tabloid she sources in the film as proof) look like barbara walters by comparison.this is great to watch if you are high and want a good laugh, but if you take this crap at all seriously, you are going to be wasting your money."
"Negative","disappointed: I ordered this fully expecting it to be the FOLDER as it says. Instead all I got was the tiny book that comes INSIDE the folder, no outer cardboard folder with the plastic molded quarter holders. Now it's going to cost me more to order what I need and none of these descriptions seem to indicate what you really get."
"Negative","Quality going downhill: We have a 25 year old water pik and a 5 year old one in a different bathroom. Guess which one fails? The new one. Every time I turn it on, there's a 90% chance there'll just be a buzzing sound. If you bang it against the counter and suck on the hose while it's buzzing, the motor might start spinning (or it might not). then you can put the reservoir on and do your thing. Other than that major offense, it does what it's supposed to do."
"Positive","Not quite the title: This book on the cover seems to say that it will help you learn more HTML and CGI. It does show you some good code but I think this book is more of a reading book then a reference. In the beginning it tells you everything about the web you can think of. There is a lot of information that I did not know, but this book takes you where you have never been. I would recommend this book to the accomplished HTML person with medium CGI experience."
"Negative","I Wish I Could Give This a 0: Anyone who thinks that this movie has any basis in fact or any remnants of reality should read a few books. I recommend ""The Birth of Whiteness- Race and the Emergence of US Cinema"" by Daniel Bernardi for starters. Films like these only promote a blind ignorance of American history, one which contributes to the racism, bigotry, and nationalist superiority sentiments which are at the root of all our domestic and international troubles. This movie attempts to be a feel good film for anyone who has ever felt disenfranchised because of their race or economic status. If you fell for it, that's too bad."
